GeneID,Symbol,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession
103,ADAR,154582056,154631559
104,ADARB1,45074577,45226562
105,ADARB2,1177312,1737475
107,ADCY1,45574139,45723115
108,ADCY2,7396229,7830080
109,ADCY3,24819168,24920016
111,ADCY5,123282295,123448987
112,ADCY6,48766190,48789095
113,ADCY7,50246137,50318134
114,ADCY8,130780299,131041603
115,ADCY9,3953386,4116184
116,ADCYAP1,904383,912171
117,ADCYAP1R1,31052340,31111478
118,ADD1,2843856,2930075
119,ADD2,70656783,70768242
120,ADD3,109996349,110135564
123,PLIN2,19108390,19127605
124,ADH1A,99276365,99291027
125,ADH1B,99306386,99321441
126,ADH1C,99336491,99353044
127,ADH4,99123656,99144297
128,ADH5,99070977,99088787
130,ADH6,99202637,99219245
131,ADH7,99412260,99435509
132,ADK,74151184,74709302
133,ADM,10304979,10307401
134,ADORA1,203127704,203167404
135,ADORA2A,24423596,24442359
136,ADORA2B,15927781,15975895
137,ADORA2BP1,209744349,209745675
140,ADORA3,111499428,111504120
141,ADPRH,119579432,119589953
142,PARP1,226360690,226408099
143,PARP4,24420929,24512992
144,PARP1P1,110936623,110940231
145,PARP1P2,63123000,63123934
146,ADRA1D,4220630,4249011
147,ADRA1B,159916732,159989204
148,ADRA1A,26738112,26870993
150,ADRA2A,111077031,111080906
151,ADRA2B,96112874,96116244
152,ADRA2C,3766568,3768525
153,ADRB1,114044046,114046907
154,ADRB2,148826592,148828633
155,ADRB3,37962994,37966665
156,GRK2,67266399,67286557
157,GRK3,25564893,25729293
158,ADSL,40346499,40387407
159,ADSS,244408491,244452133
160,AP2A1,49766922,49807113
161,AP2A2,925808,1012244
161,AP2A2,13999,74987
161,AP2A2,13999,81835
162,AP1B1,29327679,29388582
163,AP2B1,35587262,35726416
164,AP1G1,71728999,71809072
165,AEBP1,44104319,44114564
166,AES,3052909,3063106
167,CRISP1,49833938,49877095
172,AFG3L1P,89972579,90000786
173,AFM,73481744,73504000
174,AFP,73436218,73455784
175,AGA,177430773,177442502
176,ACAN,88803441,88875353
177,AGER,32180967,32184379
177,AGER,3619319,3622673
177,AGER,3513569,3516923
177,AGER,3485948,3489302
177,AGER,3522986,3526340
177,AGER,3404168,3407522
177,AGER,3497174,3500528
178,AGL,99850076,99924022
181,AGRP,67482570,67483812
182,JAG1,10637683,10674045
183,AGT,230702522,230714589
185,AGTR1,148697870,148743002
186,AGTR2,116170704,116174971
187,APLNR,57233576,57237452
189,AGXT,240868744,240879118
190,NR0B1,30304421,30309377
191,AHCY,34235011,34311975
196,AHR,17298651,17346150
197,AHSG,186612922,186621317
199,AIF1,31615208,31617024
199,AIF1,3092497,3094313
199,AIF1,2862975,2864791
199,AIF1,2957094,2958910
199,AIF1,2871030,2872846
199,AIF1,2914494,2916310
202,CRYBG1,106360807,106570448
203,AK1,127866479,127885541
204,AK2,33007939,33036910
205,AK4,65147341,65232144
206,AK4P1,31345313,31347500
207,AKT1,104769348,104795742
208,AKT2,40230316,40285530
210,ALAD,113386311,113401337
211,ALAS1,52198082,52214326
212,ALAS2,55009054,55031063
213,ALB,73404238,73421483
214,ALCAM,105366712,105576912
215,ABCD1,153724850,153744761
216,ALDH1A1,72900661,72953316
217,ALDH2,111766886,111809984
218,ALDH3A1,19737983,19748432
219,ALDH1B1,38392663,38398664
220,ALDH1A3,100879691,100916625
221,ALDH3B1,68008546,68029281
222,ALDH3B2,67662161,67681223
223,ALDH9A1,165662211,165698662
224,ALDH3A2,19648145,19677595
225,ABCD2,39530964,39651332
226,ALDOA,30053089,30070419
228,ALDOAP2,125666679,125668055
229,ALDOB,101420559,101435779
230,ALDOC,28573114,28576962
231,AKR1B1,134442349,134459238
236,AKR1B1P2,74135926,74137587
238,ALK,29190991,29921610
239,ALOX12,6993790,7010735
240,ALOX5,45374165,45446120
240,ALOX5,214996,286949
241,ALOX5AP,30713477,30764427
242,ALOX12B,8072635,8087702
243,ALOX12P1,30529685,30541839
245,ALOX12P2,6853575,6900348
246,ALOX15,4630918,4641672
247,ALOX15B,8039039,8049133
248,ALPI,232456111,232460744
249,ALPL,21508981,21578411
250,ALPP,232378533,232382888
251,ALPG,232406841,232410713
257,ALX3,110060374,110070699
258,AMBN,70592257,70607287
259,AMBP,114060126,114078471
262,AMD1,110814620,110895712
263,AMD1P2,155828095,155829826
263,AMD1P2,57014615,57016346
265,AMELX,11293412,11304148
266,AMELY,6865917,6874055
267,AMFR,56361451,56425537
268,AMH,2249278,2252072
269,AMHR2,53423854,53431671
270,AMPD1,114673097,114695617
271,AMPD2,109619812,109632054
272,AMPD3,10450320,10507578
273,AMPH,38383693,38631566
274,BIN1,127048022,127107326
275,AMT,49416777,49422677
276,AMY1A,103655518,103664550
277,AMY1B,103687414,103696451
278,AMY1C,103745429,103758691
279,AMY2A,103617331,103625779
280,AMY2B,103554643,103579533
281,AMYP1,103713719,103719904
283,ANG,20684176,20694185
284,ANGPT1,107249481,107498054
285,ANGPT2,6499650,6563419
286,ANK1,41653224,41896761
287,ANK2,112706017,113383739
288,ANK3,60026297,60733525
290,ANPEP,89784894,89814851
291,SLC25A4,185143262,185150383
292,SLC25A5,119468399,119471395
293,SLC25A6,1386151,1392145
301,ANXA1,73151730,73170392
302,ANXA2,60347150,60398024
303,ANXA2P1,153307468,153308810
304,ANXA2P2,33624224,33625533
305,ANXA2P3,64825527,64826876
306,ANXA3,78551587,78610450
307,ANXA4,69643804,69826476
308,ANXA5,121667996,121696993
309,ANXA6,151100705,151157881
310,ANXA7,73375100,73414084
311,ANXA11,80153952,80205676
312,ANXA13,123680793,123737425
313,AOAH,36509312,36724548
314,AOC2,42844582,42850711
316,AOX1,200585951,200677063
317,APAF1,98645140,98735432
318,NUDT2,34329505,34343712
319,APOF,56360570,56362798
320,APBA1,69427531,69673011
320,APBA1,21985,70596
321,APBA2,28885478,29118314
321,APBA2,1196591,1393361
321,APBA2,1047955,1280877
322,APBB1,6395123,6419829
323,APBB2,40810026,41216713
324,APC,112707504,112846238
325,APCS,159587825,159588870
326,AIRE,44285837,44298218
327,APEH,49673101,49683507
328,APEX1,20455130,20457771
329,BIRC2,102347181,102378669
330,BIRC3,102317372,102339402
331,XIAP,123859811,123913978
332,BIRC5,78214195,78225634
333,APLP1,35868444,35879796
334,APLP2,130069820,130144810
335,APOA1,116835750,116837949
336,APOA2,161222292,161223627
337,APOA4,116820701,116823294
338,APOB,21001428,21044072
339,APOBEC1,7649399,7670598
341,APOC1,44914246,44919348
342,APOC1P1,44926802,44931385
343,AQP8,25216916,25228931
344,APOC2,44945981,44949564
345,APOC3,116829891,116833073
346,APOC4,44942237,44945495
347,APOD,195568701,195584204
348,APOE,44905748,44909394
350,APOH,66212028,66229437
351,APP,25880549,26171127
353,APRT,88809468,88811933
354,KLK3,50854914,50860763
355,FAS,88968428,89017060
356,FASLG,172659007,172666872
357,SHROOM2,9786405,9949442
358,AQP1,30911693,30925516
359,AQP2,49950740,49958880
360,AQP3,33441153,33447632
361,AQP4,26852037,26865802
362,AQP5,49961495,49965681
363,AQP6,49972836,49977138
364,AQP7,33383134,33402681
366,AQP9,58138168,58185910
367,AR,67544622,67730618
368,ABCC6,16149564,16223616
368,ABCC6,1807490,1881465
369,ARAF,47561099,47571920
372,ARCN1,118572386,118603032
373,TRIM23,65589679,65624359
374,AREG,74445097,74455008
375,ARF1,228082659,228099211
377,ARF3,48930251,48957525
378,ARF4,57571362,57597487
379,ARL4D,43398984,43401135
380,ARF4P1,134078630,134079746
381,ARF5,127588351,127591704
382,ARF6,49893017,49897053
383,ARG1,131573158,131584331
384,ARG2,67619861,67651719
387,RHOA,49359135,49412096
388,RHOB,20447070,20449444
389,RHOC,112701126,112707402
390,RND3,150468192,150487694
391,RHOG,3826977,3840982
392,ARHGAP1,46677074,46700664
393,ARHGAP4,153907375,153926259
394,ARHGAP5,32072587,32159727
395,ARHGAP6,11137542,11665700
396,ARHGDIA,81867718,81871405
397,ARHGDIB,14942014,14961769
398,ARHGDIG,280605,283002
399,RHOH,40191010,40244763
400,ARL1,101393119,101407819
401,PHOX2A,72239076,72244175
402,ARL2,65014112,65022184
403,ARL3,102673726,102714432
405,ARNT,150809704,150876767
406,ARNTL,13276551,13387267
407,ARR3,70268334,70281839
408,ARRB1,75260121,75351830
409,ARRB2,4710493,4721499
410,ARSA,50622753,50628172
411,ARSB,78777208,78986086
412,STS,7147251,7354642
414,ARSD,2903969,2929374
415,ARSE,2934631,2968309
416,ARSF,3040233,3112728
417,ART1,3645109,3665515
418,ART2P,72520950,72521639
419,ART3,76011167,76112801
420,ART4,14825568,14843532
421,ARVCF,19966726,20016801
427,ASAH1,18056298,18084997
429,ASCL1,102957673,102960515
430,ASCL2,2268497,2270951
432,ASGR1,7173430,7179563
433,ASGR2,7101321,7115537
434,ASIP,34186492,34269343
435,ASL,66075788,66093342
436,ASLP1,23648787,23653358
438,ASMT,1595454,1643080
439,ASNA1,12737458,12748323
440,ASNS,97852116,97928561
442,ASNSP2,8853354,8853509
443,ASPA,3473645,3502533
444,ASPH,61500555,61714639
445,ASS1,130444706,130501273
447,ASS1P2,38810214,38811755
449,ASS1P4,3367044,3368608
450,ASS1P5,115664788,115666338
451,ASS1P6,11922284,11923872
453,ASS1P8,148526259,148527153
454,ASS1P9,53859063,53860631
455,ASS1P10,145228710,145230284
459,ASS1P14,32985737,32987300
460,ASTN1,176855116,177164903
462,SERPINC1,173903803,173917377
463,ZFHX3,72782884,73058634
466,ATF1,50763681,50821161
467,ATF3,212565333,212620776
468,ATF4,39514493,39522685
469,ATF4P1,154622339,154623779
471,ATIC,215311955,215359744
472,ATM,108222483,108369098
473,RERE,8352403,8826225
474,ATOH1,93828926,93829990
475,ATOX1,151742821,151758648
476,ATP1A1,116372985,116410258
477,ATP1A2,160115729,160143590
478,ATP1A3,41966581,41994275
479,ATP12A,24680410,24711784
480,ATP1A4,160151561,160186976
481,ATP1B1,169106708,169132721
482,ATP1B2,7646626,7657770
483,ATP1B3,141876591,141926547
484,ATP1B3P1,60734389,60735926
485,ATP1B1P1,42029084,42031264
486,FXYD2,117820074,117828091
487,ATP2A1,28878487,28904508
488,ATP2A2,110281226,110351092
489,ATP2A3,3923868,3964463
490,ATP2B1,89588048,89709352
491,ATP2B2,10324022,10707961
492,ATP2B3,153517676,153582928
493,ATP2B4,203626786,203744080
495,ATP4A,35550192,35563657
496,ATP4B,113648803,113658197
498,ATP5F1A,46084143,46104232
501,ALDH7A1,126541840,126595389
504,ATP5F1AP2,155269630,155270036
506,ATP5F1B,56638174,56646067
507,ATP5F1BP1,98206120,98207903
509,ATP5F1C,7788103,7807800
513,ATP5F1D,1241749,1244824
514,ATP5F1E,59028677,59032366
515,ATP5PB,111449120,111461917
516,ATP5MC1,48892785,48895870
517,ATP5MC2,53665159,53677545
518,ATP5MC3,175176257,175181761
520,ATP5MC2P1,209267649,209268282
521,ATP5ME,672435,674337
522,ATP5PF,25724479,25735653
523,ATP6V1A,113747018,113812057
525,ATP6V1B1,70935867,70965430
526,ATP6V1B2,20197192,20226851
527,ATP6V0C,2513725,2520222
528,ATP6V1C1,103021019,103073056
529,ATP6V1E1,17592135,17628821
533,ATP6V0B,43974647,43978299
534,ATP6V1G2,31544450,31546847
534,ATP6V1G2,3021780,3024173
534,ATP6V1G2,2792220,2794613
534,ATP6V1G2,2849503,2851896
534,ATP6V1G2,2886389,2888782
534,ATP6V1G2,2800306,2802699
534,ATP6V1G2,2843734,2846131
535,ATP6V0A1,42458843,42522578
537,ATP6AP1,154428631,154436516
538,ATP7A,77910655,78050394
539,ATP5PO,33903452,33915853
540,ATP7B,51932668,52012129
541,ALDH7A1P1,77290183,77291996
542,ALDH7A1P2,172893762,172894382
543,ALDH7A1P3,150541563,150542125
544,ALDH7A1P4,62740989,62741393
545,ATR,142449234,142578825
546,ATRX,77504877,77786268
547,KIF1A,240713763,240820307
549,AUH,91213814,91361968
550,AUP1,74526647,74529896
551,AVP,3082555,3093520
552,AVPR1A,63142758,63152809
553,AVPR1B,206106935,206117049
554,AVPR2,153902530,153907165
558,AXL,41219198,41261766
563,AZGP1,99966726,99976111
566,AZU1,827825,832017
566,AZU1,6668,10860
567,B2M,44711486,44718158
567,B2M,34835,41506
570,BAAT,101360416,101385004
570,BAAT,421208,432265
571,BACH1,29298794,29361895
572,BAD,64269827,64284703
573,BAG1,33252470,33264760
575,ADGRB1,142449702,142545008
576,ADGRB2,31727104,31764062
577,ADGRB3,68635282,69389510
578,BAK1,33572545,33580295
579,NKX3-2,13540829,13544489
580,BARD1,214725644,214809710
581,BAX,48954824,48961797
582,BBS1,66510647,66533612
583,BBS2,56470402,56520095
585,BBS4,72686178,72738475
586,BCAT1,24810023,24949458
587,BCAT2,48795061,48811062
590,BCHE,165772902,165837471
593,BCKDHA,41397788,41425004
594,BCKDHB,80106609,80469087
595,CCND1,69641104,69654473
596,BCL2,63123345,63320279
597,BCL2A1,79960889,79971300
598,BCL2L1,31664451,31723998
599,BCL2L2,23306761,23311758
600,BAK1P1,32688929,32691053
601,BAK1P2,130545542,130547653
602,BCL3,44742619,44760043
604,BCL6,187721376,187745724
605,BCL7A,122021885,122062043
605,BCL7A,1355,4309
606,NBEAP1,20669467,20756150
607,BCL9,147541500,147626218
608,TNFRSF17,11965106,11968067
610,HCN2,589892,617158
611,OPN1SW,128772488,128775789
613,BCR,23180364,23318036
616,BCRP4,22630064,22636583
617,BCS1L,218659655,218663442
618,BCYRN1,47335314,47335513
619,BCYRN1P1,139720578,139720774
622,BDH1,197509782,197573322
622,BDH1,2895,49099
623,BDKRB1,96256209,96264762
624,BDKRB2,96204797,96244328
627,BDNF,27654892,27722057
629,CFB,31945943,31952083
629,CFB,3423370,3429510
629,CFB,3193723,3199863
629,CFB,3250920,3255740
629,CFB,3287979,3294119
629,CFB,3201918,3208058
629,CFB,3247132,3253272
631,BFSP1,17493904,17569219
632,BGLAP,156241961,156243331
633,BGN,153494888,153509553
634,CEACAM1,42507305,42528508
635,BHMT,79111780,79132289
636,BICD1,32106772,32383636
637,BID,17734139,17774664
638,BIK,43110747,43129711
639,PRDM1,106046728,106109938
640,BLK,11493990,11564603
640,BLK,1783511,1854088
641,BLM,90717326,90815461
642,BLMH,30248194,30292165
643,CXCR5,118883765,118896270
644,BLVRA,43758121,43807341
645,BLVRB,40447783,40465817
646,BNC1,83255883,83284715
648,BMI1,22321209,22331484
649,BMP1,22165139,22212325
650,BMP2,6768097,6780279
651,BMP3,81030777,81057624
652,BMP4,53949735,53956890
653,BMP5,55753652,55875589
654,BMP6,7726098,7881727
655,BMP7,57168752,57266650
656,BMP8B,39757181,39788860
657,BMPR1A,86755785,86927968
658,BMPR1B,94757976,95158452
659,BMPR2,202376309,202567750
660,BMX,15500776,15556528
661,POLR3D,22245103,22251166
662,BNIP1,173144441,173164386
663,BNIP2,59659145,59689533
664,BNIP3,131967682,131982012
665,BNIP3L,26383006,26413128
666,BOK,241558730,241574137
667,DST,56457986,56954670
668,FOXL2,138944223,138947139
669,BPGM,134646778,134679815
670,BPHL,3118375,3153598
671,BPI,38304149,38337504
672,BRCA1,43044294,43125482
673,BRAF,140719326,140924927
675,BRCA2,32315479,32399671
676,BRDT,91949370,92014427
677,ZFP36L1,68787654,68796242
678,ZFP36L2,43222401,43226605
680,BRS3,136487965,136492438
682,BSG,571276,583492
683,BST1,15701865,15774177
684,BST2,17402938,17405647
685,BTC,74744758,74794717
686,BTD,15601351,15653710
687,KLF9,70384596,70414656
688,KLF5,73054975,73077541
689,BTF3,73498424,73505622
690,BTF3P11,76928450,76929089
693,BTF3P1,51721255,51723045
694,BTG1,92140277,92145896
695,BTK,101349446,101390795
696,BTN1A1,26499289,26510424
699,BUB1,110637697,110678106
701,BUB1B,40161008,40221135
705,BYSL,41921226,41933045
706,TSPO,43151513,43163241
708,C1QBP,5432778,5439150
710,SERPING1,57597553,57614852
711,ERC2-IT1,55657205,55659468
712,C1QA,22636505,22639681
713,C1QB,22652980,22661636
714,C1QC,22643616,22648110
715,C1R,7080208,7092606
716,C1S,7060660,7071031
717,C2,31897784,31945673
717,C2,3375209,3423100
717,C2,3145558,3193453
717,C2,3232691,3250650
717,C2,3239856,3287709
717,C2,3153756,3201648
717,C2,3228715,3246862
718,C3,6677834,6720681
719,C3AR1,8056843,8066470
720,C4A,31982056,32002679
720,C4A,3229829,3250453
720,C4A,3238027,3258651
721,C4B,32014794,32035417
721,C4B,3459483,3473739
721,C4B,3262569,3276825
721,C4B,3315983,3336607
722,C4BPA,207104231,207144971
724,C4BPAP2,207225797,207229201
725,C4BPB,207088794,207099992
726,CAPN5,77066944,77126154
727,C5,120952334,121075173
728,C5AR1,47309846,47322069
729,C6,41142145,41261485
730,C7,40909251,40984639
731,C8A,56854769,56918220
732,C8B,56929209,56974382
733,C8G,136944869,136946980
734,OSGIN2,89901867,89935613
735,C9,39284143,39364559
738,VPS51,65096114,65111859
740,MRPL49,65122182,65127368
741,ZNHIT2,65116402,65117737
744,MPPED2,30384492,30586994
745,MYRF,61752616,61788517
746,TMEM258,61789129,61792612
747,DAGLA,61680183,61747001
750,GAS8-AS1,90028907,90029900
752,FMNL1,45220267,45247321
753,LDLRAD4,13217603,13652753
754,PTTG1IP,44849584,44873902
755,CFAP410,44328943,44339416
757,TMEM50B,33432485,33480008
757,TMEM50B,27057,84137
758,MPPED1,43412013,43507847
759,CA1,85328228,85378153
760,CA2,85463901,85481491
761,CA3,85438826,85449039
762,CA4,60149935,60179020
763,CA5A,87888012,87936574
764,CA5AP1,29618674,29636330
765,CA6,8945833,8975091
766,CA7,66844378,66854148
767,CA8,60185419,60281422
768,CA9,35673808,35681158
770,CA11,48637941,48646311
771,CA12,63321377,63382165
773,CACNA1A,13206441,13506459
774,CACNA1B,137877788,138124623
775,CACNA1C,1969551,2697948
775,CACNA1C,395393,1046064
776,CACNA1D,53495048,53813150
777,CACNA1E,181317711,181808083
778,CACNA1F,49205062,49233403
779,CACNA1S,201039508,201112565
780,DDR1,30880957,30900155
780,DDR1,2362381,2379926
780,DDR1,2214564,2218961
780,DDR1,2138907,2156465
780,DDR1,2192854,2210393
780,DDR1,2226761,2249065
780,DDR1,2137780,2155325
781,CACNA2D1,81946443,82443805
782,CACNB1,39173455,39197702
783,CACNB2,18140559,18545880
784,CACNB3,48814431,48828942
785,CACNB4,151832770,152099166
786,CACNG1,67044535,67056796
788,SLC25A20,48856922,48898992
789,SLC25A20P1,52246370,52248103
790,CAD,27217389,27243791
793,CALB1,90058607,90082880
794,CALB2,71358712,71390437
794,CALB2,226189,257934
795,S100G,16649786,16654673
796,CALCA,14966667,14972360
797,CALCB,15073599,15078630
798,CALCP,14907498,14907998
799,CALCR,93424486,93574729
800,CALD1,134779412,134970728
801,CALM1,90396982,90408274
802,CALM1P1,95499607,95500111
804,CALM1P2,55259681,55260293
805,CALM2,47160081,47176935
806,CALM2P2,70163651,70164740
807,CALM2P3,41170587,41171228
808,CALM3,46601073,46610781
810,CALML3,5524888,5526267
811,CALR,12938599,12944489
813,CALU,128739291,128773422
814,CAMK4,111223652,111498502
815,CAMK2A,150219490,150289839
816,CAMK2B,44217149,44326166
817,CAMK2D,113451031,113762176
818,CAMK2G,73812500,73874590
819,CAMLG,134738479,134752159
820,CAMP,48223346,48225490
821,CANX,179678645,179731640
821,CANX,464482,497220
822,CAPG,85394747,85418466
823,CAPN1,65181214,65212005
824,CAPN2,223701592,223776017
825,CAPN3,42359499,42412316
826,CAPNS1,36139925,36150352
827,CAPN6,111245098,111270545
828,CAPS,5913643,5916210
829,CAPZA1,112619452,112671618
830,CAPZA2,116862508,116919260
831,CAST,96662036,96774682
832,CAPZB,19338772,19485640
833,CARS,3000921,3057450
833,CARS,231983,288482
834,CASP1,105025507,105035590
835,CASP2,143288214,143307695
836,CASP3,184627695,184649474
837,CASP4,104942865,104968597
838,CASP5,104994234,105023901
839,CASP6,109688628,109703472
840,CASP7,113679161,113730908
841,CASP8,201233442,201287710
842,CASP9,15491400,15524911
843,CASP10,201182880,201229405
844,CASQ1,160190494,160201885
845,CASQ2,115700002,115768804
846,CASR,122183682,122286502
847,CAT,34438924,34472059
857,CAV1,116524784,116561184
858,CAV2,116499600,116508540
859,CAV3,8733799,8746764
860,RUNX2,45328316,45551081
861,RUNX1,34787800,35049333
862,RUNX1T1,91954966,92103450
863,CBFA2T3,88874854,88977148
864,RUNX3,24899510,24965157
865,CBFB,67029146,67101057
866,SERPINA6,94304247,94323350
866,SERPINA6,1418809,1437912
867,CBL,119206275,119308148
868,CBLB,105655460,105869551
869,CBLN1,49277916,49281830
871,SERPINH1,75562055,75572803
873,CBR1,36069923,36073176
874,CBR3,36134900,36146561
875,CBS,43053189,43076860
881,CCIN,36169391,36171333
883,KYAT1,128833112,128882557
885,CCK,42257823,42266194
886,CCKAR,26481395,26490419
887,CCKBR,6259673,6272126
889,KRIT1,92198968,92246099
890,CCNA2,121816443,121824000
891,CCNB1,69167009,69178244
892,CCNC,99542386,99568813
894,CCND2,4273735,4305355
895,CCND2P1,63242884,63244236
896,CCND3,41934932,42048893
897,CCND3P1,30403193,30403820
898,CCNE1,29811993,29824316
899,CCNF,2429390,2458857
900,CCNG1,163437570,163445015
901,CCNG2,77157203,77170059
902,CCNH,87311479,87413032
904,CCNT1,48688457,48716997
905,CCNT2,134918809,134959344
908,CCT6A,56051684,56063988
909,CD1A,158248328,158258268
910,CD1B,158285405,158331530
911,CD1C,158289772,158294773
912,CD1D,158178037,158186426
913,CD1E,158353122,158357553
914,CD2,116754429,116769228
915,CD3D,118339073,118342743
916,CD3E,118304579,118316174
917,CD3G,118344343,118353781
919,CD247,167430639,167518609
920,CD4,6789471,6820809
921,CD5,61093962,61127851
922,CD5L,157827070,157841843
923,CD6,60971640,61020376
924,CD7,82314864,82320828
925,CD8A,86784604,86808395
926,CD8B,86815336,86861923
927,CD8B2,106487334,106511094
928,CD9,6199706,6238270
929,CD14,140631727,140633700
930,CD19,28931734,28939346
931,MS4A1,60455808,60470751
932,MS4A3,60056627,60071115
932,MS4A3,150499,165003
933,CD22,35329165,35347360
935,CD24P1,15609981,15614945
936,CD24P2,56071338,56074087
937,CD24P3,31510841,31511436
938,CD24P4,18990639,18992817
939,CD27,6444866,6451717
940,CD28,203706474,203739755
941,CD80,119523908,119559633
942,CD86,122055361,122121142
943,TNFRSF8,12063316,12144212
944,TNFSF8,114893342,114930673
945,CD33,51211053,51240018
946,SIGLEC6,51517818,51531855
947,CD34,207886537,207911337
948,CD36,80602187,80679276
949,SCARB1,124777627,124863972
950,SCARB2,76158736,76213898
951,CD37,49334960,49340607
952,CD38,15778264,15853242
953,ENTPD1,95710900,95877265
954,ENTPD2,137048097,137054050
955,ENTPD6,25195669,25228074
956,ENTPD3,40387155,40428625
957,ENTPD5,73957915,74019331
958,CD40,46118241,46129744
959,CD40LG,136648176,136660389
960,CD44,35138869,35232401
961,CD47,108043093,108094199
962,CD48,160678745,160711850
963,CD53,110871166,110899935
965,CD58,116500389,116571092
966,CD59,33703009,33736478
967,CD63,55725442,55729672
968,CD68,7579486,7582110
969,CD69,9752485,9760900
970,CD70,6581645,6591151
971,CD72,35609978,35618426
972,CD74,150401636,150412935
973,CD79A,41877119,41881371
974,CD79B,63928735,63932353
975,CD81,2376176,2397418
976,ADGRE5,14381143,14408724
977,CD151,832951,838834
978,CDA,20588950,20618907
983,CDK1,60778330,60794851
984,CDK11B,1635225,1659618
987,LRBA,150264514,151015726
988,CDC5L,44387513,44450423
989,SEPT7,35800985,35915762
990,CDC6,40287877,40303160
991,CDC20,43358954,43363202
993,CDC25A,48157177,48188404
994,CDC25B,3786771,3806120
995,CDC25C,138285264,138338354
996,CDC27,47117696,47189338
997,CDC34,531719,542087
998,CDC42,22052626,22092942
999,CDH1,68737289,68835541
1000,CDH2,27932877,28177445
1001,CDH3,68644835,68727572
1002,CDH4,61252425,61940616
1002,CDH4,8602,54268
1003,CDH5,66366606,66404785
1004,CDH6,31193654,31329145
1005,CDH7,65750251,65885135
1006,CDH8,61640397,62036834
1007,CDH9,26880599,27038581
1008,CDH10,24487099,24644977
1009,CDH11,64943752,65126111
1010,CDH12,21750865,22853621
1011,CDH12P2,69985198,69985499
1011,CDH12P2,210203,210504
1012,CDH13,82626793,83796609
1013,CDH15,89171754,89195491
1014,CDH16,66908121,66918983
1015,CDH17,94127161,94217302
1016,CDH18,19471295,20575885
1017,CDK2,55966768,55972788
1018,CDK3,76000905,76005998
1019,CDK4,57747726,57752446
1020,CDK5,151053811,151057964
1021,CDK6,92604920,92836626
1022,CDK7,69234794,69277429
1022,CDK7,17974,60595
1024,CDK8,26254103,26405237
1025,CDK9,127785537,127790781
1026,CDKN1A,36676459,36687338
1027,CDKN1B,12717269,12722382
1028,CDKN1C,2883217,2885803
